,BATTING,Unnamed: 1,R,B,M,4s,6s,SR,Unnamed: 8,Unnamed: 9
17,"Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)","Fall of wickets: 1-0 (KL Rahul, 0.1 ov), 2-13 (Quinton de Kock, 2.3 ov), 3-20 (Evin Lewis, 3.3 ov), 4-29 (Manish Pandey, 4.3 ov), 5-116 (Deepak Hooda, 15.5 ov), 6-156 (Ayush Badoni, 19.4 ov)",
0,Shubman Gill,c Hooda b Chameera,0,3,4,0,0,0.00,,
1,,,,,,,,,,
2,Matthew Wade †,b Hooda,30,29,60,4,0,103.44,,
3,,,,,,,,,,
4,Vijay Shankar,b Chameera,4,6,10,0,0,66.66,,
5,,,,,,,,,,
6,Hardik Pandya (c),c Pandey b Pandya,33,28,40,5,1,117.85,,
7,,,,,,,,,,
8,David Miller,c Rahul b Avesh Khan,30,21,38,1,2,142.85,,
9,,,,,,,,,,
10,Rahul Tewatia,not out,40,24,43,5,2,166.66,,
11,Abhinav Manohar,not out,15,7,14,3,0,214.28,,
12,Extras,"(lb 6, w 3)",9,,,,,,,
13,TOTAL,19.4 Ov (RR: 8.18),161/5,,,,,,,
