,Batsman,Status,Runs,Balls,Fours,Sixes,Out
2065,Ravichandran Ashwin,c Warner b Marsh,50,38,4,2,True
2067,Devdutt Padikkal,c sub (KL Nagarkoti) b Nortje,48,30,6,2,True
2069,Sanju Samson,c Thakur b Nortje,6,4,1,0,True
2071,Riyan Parag,c Powell b Sakariya,9,5,0,1,True
2073,Rassie van der Dussen,not out,12,10,1,0,False
2074,Trent Boult,not out,3,3,0,0,False
2079,Srikar Bharat,c †Samson b Boult,0,2,0,0,True
2081,David Warner,not out,52,41,5,1,False
2082,Mitchell Marsh,c Sen b Chahal,89,62,5,7,True
2084,Rishabh Pant,not out,13,4,0,2,False
2089,Ruturaj Gaikwad,c †Ishan Kishan b Sams,7,6,1,0,True
2091,Devon Conway,lbw b Sams,0,1,0,0,True
2093,Moeen Ali,c Shokeen b Sams,0,2,0,0,True
2095,Robin Uthappa,lbw b Bumrah,1,6,0,0,True
2097,Ambati Rayudu,c †Ishan Kishan b Meredith,10,14,2,0,True
2099,MS Dhoni,not out,36,33,4,2,False
2100,Shivam Dube,c †Ishan Kishan b Meredith,10,9,1,0,True
2102,Dwayne Bravo,c Tilak Varma b Kartikeya,12,15,0,1,True
2104,Simarjeet Singh,lbw b Kartikeya,2,3,0,0,True
2106,Maheesh Theekshana,c Sharma b Ramandeep Singh,0,3,0,0,True
2108,Mukesh Choudhary,run out (†Ishan Kishan),4,4,1,0,True
2113,Ishan Kishan,c †Dhoni b Mukesh Choudhary,6,5,1,0,True
2115,Rohit Sharma,c †Dhoni b Simarjeet Singh,18,14,4,0,True
2117,Daniel Sams,lbw b Mukesh Choudhary,1,6,0,0,True
2119,Tilak Varma,not out,34,32,4,0,False
2120,Tristan Stubbs,lbw b Mukesh Choudhary,0,2,0,0,True
2122,Hrithik Shokeen,b Ali,18,23,2,0,True
2124,Tim David,not out,16,7,0,2,False
2129,Jonny Bairstow,c Mohammed Siraj b Shahbaz Ahmed,66,29,4,7,True
2131,Shikhar Dhawan,b Maxwell,21,15,2,1,True
2133,Bhanuka Rajapaksa,c Patel b de Silva,1,3,0,0,True
2135,Liam Livingstone,c †Karthik b Patel,70,42,5,4,True
2137,Mayank Agarwal,c de Silva b Patel,19,16,3,0,True
2139,Jitesh Sharma,b de Silva,9,5,2,0,True
2141,Harpreet Brar,c †Karthik b Patel,7,5,0,1,True
2143,Rishi Dhawan,c Maxwell b Patel,7,3,0,1,True
2145,Rahul Chahar,run out (Maxwell/†Karthik),2,2,0,0,True
2147,Kagiso Rabada,not out,0,1,0,0,False
2152,Virat Kohli,c Chahar b Rabada,20,14,2,1,True
2154,Faf du Plessis,c †Sharma b R Dhawan,10,8,2,0,True
2156,Rajat Patidar,c S Dhawan b Chahar,26,21,1,2,True
2158,Mahipal Lomror,c S Dhawan b R Dhawan,6,3,0,1,True
2160,Glenn Maxwell,c Arshdeep Singh b Harpreet Brar,35,22,3,1,True
2162,Dinesh Karthik,c Rajapaksa b Arshdeep Singh,11,11,1,0,True
2164,Shahbaz Ahmed,c Rajapaksa b Rabada,9,14,0,0,True
2166,Harshal Patel,c Agarwal b Rabada,11,7,2,0,True
2168,Wanindu Hasaranga de Silva,c Harpreet Brar b Chahar,1,3,0,0,True
2170,Mohammed Siraj,not out,9,13,1,0,False
2171,Josh Hazlewood,not out,7,4,1,0,False
2175,Venkatesh Iyer,b Jansen,7,6,1,0,True
2177,Ajinkya Rahane,c Shashank Singh b Umran Malik,28,24,0,3,True
2179,Nitish Rana,c Shashank Singh b Umran Malik,26,16,1,3,True
2181,Shreyas Iyer,c Tripathi b Umran Malik,15,9,2,0,True
2183,Sam Billings,c Williamson b Kumar,34,29,3,1,True
2185,Rinku Singh,lbw b Natarajan,5,6,0,0,True
2187,Andre Russell,not out,49,28,3,4,False
2188,Sunil Narine,not out,1,2,0,0,False
2193,Abhishek Sharma,c †Billings b Varun,43,28,4,2,True
2195,Kane Williamson,b Russell,9,17,1,0,True
2197,Rahul Tripathi,c & b Southee,9,12,1,0,True
2199,Aiden Markram,b Yadav,32,25,0,3,True
2201,Nicholas Pooran,c & b Narine,2,3,0,0,True
2203,Washington Sundar,c VR Iyer b Russell,4,9,0,0,True
2205,Shashank Singh,c SS Iyer b Southee,11,12,1,0,True
2207,Marco Jansen,c †Billings b Russell,1,2,0,0,True
2209,Bhuvneshwar Kumar,not out,6,7,1,0,False
2210,Umran Malik,not out,3,5,0,0,False
2215,Ruturaj Gaikwad,c Wade b Rashid Khan,53,49,4,1,True
2217,Devon Conway,c †Saha b Mohammed Shami,5,9,0,0,True
2219,Moeen Ali,c Rashid Khan b Sai Kishore,21,17,0,2,True
2221,Narayan Jagadeesan,not out,39,33,3,1,False
2222,Shivam Dube,c †Saha b Joseph,0,2,0,0,True
2224,MS Dhoni,c Yash Dayal b Mohammed Shami,7,10,0,0,True
2226,Mitchell Santner,not out,1,1,0,0,False
2231,Wriddhiman Saha,not out,67,57,8,1,False
2232,Shubman Gill,lbw b Pathirana,18,17,3,0,True
2234,Matthew Wade,c Dube b Ali,20,15,2,0,True
2236,Hardik Pandya,c Dube b Pathirana,7,6,1,0,True
2238,David Miller,not out,15,20,1,0,False
2243,Yashasvi Jaiswal,c & b Badoni,41,29,6,1,True
2245,Jos Buttler,b Avesh Khan,2,6,0,0,True
2247,Sanju Samson,c Hooda b Holder,32,24,6,0,True
2249,Devdutt Padikkal,c Pandya b Ravi Bishnoi,39,18,5,2,True
2251,Riyan Parag,c Stoinis b Ravi Bishnoi,19,16,0,1,True
2253,James Neesham,run out (Rahul/Ravi Bishnoi),14,12,2,0,True
2255,Ravichandran Ashwin,not out,10,7,1,0,False
2256,Trent Boult,not out,17,9,2,0,False
2261,Quinton de Kock,c Neesham b Boult,7,8,1,0,True
2263,KL Rahul,c Jaiswal b Prasidh Krishna,10,19,0,1,True
2265,Ayush Badoni,lbw b Boult,0,1,0,0,True
2267,Deepak Hooda,st †Samson b Chahal,59,39,5,2,True
2269,Krunal Pandya,c Parag b Ashwin,25,23,1,1,True
2271,Marcus Stoinis,c Parag b Prasidh Krishna,27,17,1,2,True
2273,Jason Holder,c †Samson b McCoy,1,2,0,0,True
2275,Dushmantha Chameera,b McCoy,0,2,0,0,True
2277,Mohsin Khan,not out,9,7,1,0,False
2278,Avesh Khan,not out,1,2,0,0,False
2283,David Warner,c Chahar b Livingstone,0,1,0,0,True
2285,Sarfaraz Khan,c Chahar b Arshdeep Singh,32,16,5,1,True
2287,Mitchell Marsh,c R Dhawan b Rabada,63,48,4,3,True
2289,Lalit Yadav,c Rajapaksa b Arshdeep Singh,24,21,1,1,True
2291,Rishabh Pant,st †Sharma b Livingstone,7,3,0,1,True
2293,Rovman Powell,c S Dhawan b Livingstone,2,6,0,0,True
2295,Axar Patel,not out,17,20,2,0,False
2296,Shardul Thakur,c Harpreet Brar b Arshdeep Singh,3,4,0,0,True
2298,Kuldeep Yadav,not out,2,2,0,0,False
